Infinitive,Past Indicative,Past Participle,Auxiliary verb,English
bakken,bakte/bakten,gebakken,hebben,to bake
beginnen,begon/begonnen,begonnen,zijn,to begin
begrijpen,begreep/begrepen,begrepen,hebben,to understand
bergen,borg/borgen,geborgen,hebben,to save
bewegen,bewoog/bewogen,bewogen,hebben,to move
bezoeken,bezocht/bezochten,bezocht,hebben,to visit
bieden,bood/boden,geboden,hebben,to offer
bijten,beet/beten,gebeten,hebben,to bite
binden,bond/bonden,gebonden,hebben,to bind
blijven,bleef/bleven,gebleven,zijn,to stay
breken,brak/braken,gebroken,hebben/zijn,to break
brengen,bracht/brachten,gebracht,hebben,to bring
denken,dacht/dachten,gedacht,hebben,to think
doen,deed/deden,gedaan,hebben,to make
dragen,droeg/droegen,gedragen,hebben,to carry
dringen,drong/drongen,gedrongen,hebben/zijn,to push
drinken,dronk/dronken,gedronken,hebben,to drink
duiken,dook/doken,gedoken,hebben/zijn,to dive
eten,at/aten,gegeten,hebben,to eat
gaan,ging/gingen,gegaan,zijn,to go
genezen,genas/genazen,genezen,hebben/zijn,to convalesce
geven,gaf/gaven,gegeven,hebben,to give
hangen,hing/hingen,gehangen,hebben,to hang
hebben,had/hadden,gehad,hebben,to have
helpen,hielp/hielpen,geholpen,hebben,to help
heten,heette/heetten,geheten,hebben,to call
houden,hield/hielden,gehouden,hebben,to hold
kiezen,koos/kozen,gekozen,hebben,to choose
kijken,keek/keken,gekeken,hebben,to watch
klimmen,klom/klommen,geklommen,hebben/zijn,to climb
komen,kwam/kwamen,gekomen,zijn,to come
kopen,kocht/kochten,gekocht,hebben,to buy
krijgen,kreeg/kregen,gekregen,hebben,to get
kunnen,kon/konden,gekund,hebben,to be able
lachen,lachte/lachten,gelachen,hebben,to laugh
laten,liet/lieten,gelaten,hebben,to let
lezen,las/lazen,gelezen,hebben,to read
liegen,loog/logen,gelogen,hebben,to (tell a) lie
liggen,lag/lagen,gelegen,hebben,to lie (down)
lopen,liep/liepen,gelopen,hebben/zijn,to run
moeten,moest/moesten,gemoeten,hebben,to have to
mogen,mocht/mochten,gemoogd,hebben,to like
nemen,nam/namen,genomen,hebben,to take
ontvangen,ontving/ontvingen,ontvangen,hebben,to receive
rijden,reed/reden,gereden,hebben/zijn,to ride
roepen,riep/riepen,geroepen,hebben,to call
schieten,schoot/schoten,geschoten,hebben,to shoot
schijnen,scheen/schenen,geschenen,hebben,to shine
schrikken,schrok/schrokken,geschrokken,zijn,to scare
schrijven,schreef/schreven,geschreven,hebben,to write
slapen,sliep/sliepen,geslapen,hebben,to sleep
sluiten,sloot/sloten,gesloten,hebben,to close
snijden,sneed/sneden,gesneden,hebben,to cut
spreken,sprak/spraken,gesproken,hebben,to speak
springen,sprong/sprongen,gesprongen,hebben/zijn,to jump
staan,stond/stonden,gestaan,hebben,to stand
steken,stak/staken,gestoken,hebben,to sting
stelen,stal/stalen,gestolen,hebben,to steal
sterven,stierf/stierven,gestorven,zijn,to die
trekken,trok/trokken,getrokken,hebben/zijn,to pull
vallen,viel/vielen,gevallen,zijn,to fall
vangen,ving/vingen,gevangen,hebben,to catch
varen,voer/voeren,gevaren,hebben/zijn,to sail
vechten,vocht/vochten,gevochten,hebben,to fight
verbieden,verbood/verboden,verboden,hebben,to forbid
verdwijnen,verdween/verdwenen,verdwenen,zijn,to disappear
vergeten,vergat/vergaten,vergeten,hebben/zijn,to forget
verlaten,verliet/verlieten,verlaten,hebben,to leave
verliezen,verloor/verloren,verloren,hebben,to lose
vertrekken,vertrok/vertrokken,vertrokken,zijn,to leave
vinden,vond/vonden,gevonden,hebben,to find
vliegen,vloog/vlogen,gevlogen,hebben/zijn,to fly
vragen,vroeg/vroegen,gevraagd,hebben,to ask
wassen,waste/wasten,gewassen,hebben,to wash
werpen,wierp/wierpen,geworpen,hebben,to throw
weten,wist/wisten,geweten,hebben,to know
wijzen,wees/wezen,gewezen,hebben,to indicate
willen,wilde/wilden,gewild,hebben,to want
winnen,won/wonnen,gewonnen,hebben,to win
worden,werd/werden,geworden,zijn,to become
zeggen,zei/zeiden,gezegd,hebben,to say
zenden,zond/zonden,gezonden,hebben,to send
zien,zag/zagen,gezien,hebben,to see
zijn,was/waren,geweest,zijn,to be
zingen,zong/zongen,gezongen,hebben,to sing
zitten,zat/zaten,gezeten,hebben,to sit
zoeken,zocht/zochten,gezocht,hebben,to search
zullen,zou/zouden,-----,-----,shall
zwemmen,zwom/zwommen,gezwommen,hebben/zijn,to swim
zwijgen,zweeg/zwegen,gezwegen,hebben,to keep silent